name,position,minutes_played,passes_completed,passes_total,shots,xg,ball_recoveries,pressures,dribbles_won,passes_completed_p90,passes_total_p90,shots_p90,xg_p90,ball_recoveries_p90,pressures_p90,dribbles_won_p90
Antonio Baltasar Doblas Santana,Goalkeeper,276,35.0,79.0,0.0,0.0,17.0,0.0,0.0,11.41,25.76,0.0,0.0,5.54,0.0,0.0
Antonio Barragán Fernández,Right Back,2544,976.0,1250.0,0.0,0.0,86.0,328.0,11.0,34.53,44.22,0.0,0.0,3.04,11.6,0.39
Antonio Galdeano Benítez,Right Defensive Midfield,341,117.0,170.0,1.0,0.025781235,24.0,106.0,8.0,30.88,44.87,0.26,0.01,6.33,27.98,2.11
Antonio García Aranda,Left Back,2888,1112.0,1534.0,12.0,0.2632022164,165.0,349.0,36.0,34.65,47.8,0.37,0.01,5.14,10.88,1.12
Antonio Jesús Cotán Pérez,Right Defensive Midfield,92,42.0,50.0,0.0,0.0,6.0,18.0,2.0,41.09,48.91,0.0,0.0,5.87,17.61,1.96
Antonio Jesús Regal Angulo,Right Wing Back,93,29.0,46.0,1.0,0.08753085,7.0,14.0,0.0,28.06,44.52,0.97,0.08,6.77,13.55,0.0
Antonio Jesús Vázquez Muñoz,Right Defensive Midfield,365,127.0,179.0,4.0,0.226973737,30.0,103.0,4.0,31.32,44.14,0.99,0.06,7.4,25.4,0.99
Antonio José Raillo Arenas,Left Center Back,552,133.0,172.0,4.0,0.22443217099999999,17.0,56.0,0.0,21.68,28.04,0.65,0.04,2.77,9.13,0.0
Antonio Latorre Grueso,Left Back,250,77.0,99.0,1.0,0.011202433,8.0,34.0,0.0,27.72,35.64,0.36,0.0,2.88,12.24,0.0
Antonio López Guerrero,Left Back,906,309.0,412.0,2.0,0.087892341,38.0,84.0,7.0,30.7,40.93,0.2,0.01,3.77,8.34,0.7
Antonio Manuel Luna Rodríguez,Left Back,1883,542.0,755.0,2.0,0.11135503599999999,77.0,250.0,11.0,25.91,36.09,0.1,0.01,3.68,11.95,0.53
Antonio Moral Segura,Right Wing,119,25.0,32.0,1.0,0.40265763,8.0,35.0,1.0,18.91,24.2,0.76,0.3,6.05,26.47,0.76
"Antonio Pacheco D""Agosti",Right Center Midfield,181,43.0,73.0,4.0,0.9443157070000001,12.0,31.0,3.0,21.38,36.3,1.99,0.47,5.97,15.41,1.49
